id,address,style,year,lat,lon
264,110 E Johnson St,Flat,1880,43.078112,-89.385733
265,2817 Milwaukee St,Old Style,1880,43.099665,-89.342608
266,2566 Hoard St,Flat,1880,43.104804,-89.352186
267,3149 Milwaukee St,Old Style,1880,43.099539,-89.336452
268,4102 Green Ave,Old Style,1880,43.138355,-89.398447
269,707 E Johnson St,Old Style,1880,43.08199,-89.379244
270,27 N Baldwin St,Old Style,1880,43.088118,-89.366941
271,414 S Few St,Old Style,1880,43.082724,-89.364052
272,522 E Main St,Flat,1880,43.077751,-89.378047
273,1155 Williamson St,Old Style,1880,43.083007,-89.364306
274,1111 Williamson St,Old Style,1880,43.082094,-89.365453
275,842 Spaight St,Old Style,1880,43.078119,-89.368846
276,734 Jenifer St,Old Style,1880,43.07759,-89.371914
277,20 S Broom St,Flat,1880,43.070696,-89.388433
278,5605 Raymond Rd,Old Style,1880,43.031504,-89.4756589
279,427 W Wilson St,Old Style,1881,43.068298,-89.386476
280,312 N Carroll St,Flat,1881,43.076136,-89.388801
281,514 E Washington Ave,Flat,1881,43.07851,-89.37946
282,1213 Rutledge St,Flat,1881,43.081511,-89.36096
283,406 W Olin Ave,Old Style,1881,43.054196,-89.389327
284,101 S Franklin St,Old Style,1882,43.07705,-89.378154
285,124 N Franklin St,Flat,1882,43.079152,-89.381683
286,1016 Jenifer St,Old Style,1882,43.080659,-89.366762
287,613 N Blackhawk Ave,Flat,1882,43.073166,-89.4460469
288,814 Jenifer St,Old Style,1882,43.0781459,-89.37034
289,221 N Few St,Flat,1882,43.088275,-89.370405
290,914 Lawrence St,Old Style,1883,43.0576409,-89.385823
291,2108 E Main St,Flat,1883,43.094933,-89.35459
292,918 Drake St,Bungalow,1883,43.062385,-89.401589
293,209 N Ingersoll St,Old Style,1883,43.0866619,-89.37188
294,929 E Johnson St,Old Style,1883,43.084912,-89.374986
295,1314 E Washington Ave,Flat,1883,43.0876911,-89.3659252
296,1141 Jenifer St,Bungalow,1884,43.082062,-89.3637059
297,125 N Randall Ave,Old Style,1884,43.0706391,-89.4087882
298,429 W Wilson St,Old Style,1884,43.068239,-89.386569
299,1318 E Dayton St,Old Style,1884,43.089419,-89.367885
300,1014 W Dayton St,Old Style,1884,43.0712059,-89.403056
301,23 N Baldwin St,Old Style,1884,43.088038,-89.366667
302,725 W Main St,Old Style,1884,43.065419,-89.3944
303,1237 E Dayton St,Old Style,1884,43.088214,-89.368519
304,413 S Baldwin St,Flat,1884,43.084294,-89.361834
305,1229 E Dayton St Unit 1/2,Old Style,1884,43.087962,-89.368879
306,923 Clymer Pl,Flat,1884,43.071416,-89.401981
307,406 S Few St,Old Style,1884,43.082892,-89.364194
308,542 W Wilson St,Old Style,1884,43.067247,-89.38937
309,1137 Williamson St,Old Style,1884,43.0826459,-89.36466
310,313 E Mifflin St,Apartment,1884,43.0778589,-89.38164
311,906 E Gorham St,Old Style,1884,43.085428,-89.377039
312,1034 Jenifer St,Old Style,1884,43.0810389,-89.366227
313,650 E Johnson St,Victorian georgian regency,1884,43.081936,-89.380177
314,419 W Washington Ave,Flat,1884,43.070684,-89.389168
315,518 E Johnson St,Old Style,1884,43.080593,-89.382041
316,511 E Main St,Old Style,1884,43.077141,-89.37793
317,133 N Franklin St,Flat,1884,43.0797,-89.381448
318,412 S Brooks St,Flat,1884,43.062686,-89.402801
319,115 S Hancock St,Flat,1884,43.076292,-89.378433
320,1148 Jenifer St,Old Style,1884,43.082521,-89.364068
321,114 N Franklin St,Flat,1884,43.078955,-89.381422
322,1315 Spaight St,Old Style,1884,43.083357,-89.360085
323,128 N Franklin St,Old Style,1884,43.079289,-89.381861
324,733 E Gorham St,Old Style,1884,43.083193,-89.379239
325,132 N Franklin St,Old Style,1884,43.079365,-89.381959
326,421 N Paterson St,Flat,1884,43.08572,-89.377337
327,1248 E Dayton St,Old Style,1884,43.088807,-89.368702
328,1309 E Wilson St,Old Style,1884,43.085197,-89.362843
329,339 W Doty St,Old Style,1884,43.070015,-89.386174
330,305 N Livingston St,Victorian georgian regency,1884,43.083501,-89.378023
331,433 W Wilson St,Flat,1884,43.068147,-89.386704
332,123 N Hancock St,Old Style,1884,43.078967,-89.381959
333,916 Jenifer St,Old Style,1884,43.0794349,-89.3685069
334,1013 Chandler St,Bungalow,1884,43.06391,-89.403144
335,116 E Johnson St,Old Style,1884,43.078262,-89.385521
336,720 E Johnson St,Old Style,1884,43.08261,-89.379342
337,140 E Johnson St,Flat,1884,43.078776,-89.384792
338,114 W Gorham St,Flat,1884,43.076504,-89.389798
339,11 E Gilman St,Old Style,1884,43.078431,-89.387814
340,1150 E Johnson St,Flat,1884,43.088248,-89.371422
341,20 E Gorham St,Old Style,1884,43.078232,-89.387347
342,838 E Johnson St,Old Style,1884,43.084238,-89.377023
343,1012 W Dayton St,Old Style,1884,43.0713182,-89.4029231
344,842 E Johnson St,Old Style,1884,43.084301,-89.376932
345,1321 Drake St,Old Style,1884,43.061787,-89.407921
346,727 E Johnson St,Flat,1884,43.082405,-89.378563
347,924 Drake St,Flat,1884,43.0623829,-89.401756
348,153 N Franklin St,Flat,1884,43.080088,-89.3820439
349,612 S Brooks St,Old Style,1884,43.060587,-89.402788
350,816 Regent St,Flat,1884,43.06785,-89.39995
351,602 S Brooks St,Old Style,1884,43.06076,-89.402678
352,1157 Sherman Ave,Old Style,1884,43.090355,-89.3739949
353,403 W Doty St,Old Style,1884,43.069574,-89.3869519
354,1137 Jenifer St,Old Style,1884,43.082001,-89.363792
355,410 S Mills St,Old Style,1884,43.062653,-89.404396
356,118 S Blair St,Flat,1884,43.076968,-89.377191
357,108 N Baldwin St,Old Style,1884,43.088315,-89.367878
358,914 Drake St,Old Style,1884,43.062306,-89.401346
359,1022 E Johnson St,Old Style,1884,43.0864369,-89.373899
360,912 Spaight St,Flat,1884,43.078627,-89.367838
361,828 E Johnson St,Old Style,1884,43.084047,-89.377296
362,25 S Randall Ave,Old Style,1884,43.0668549,-89.408686
363,145 N Franklin St,Old Style,1884,43.079953,-89.381781
364,502 E Washington Ave,Old Style,1884,43.078202,-89.379746
365,141 N Hancock St,Old Style,1884,43.079317,-89.382416
366,18 N Butler St,Old Style,1884,43.077152,-89.382136
367,140 N Butler St,Old Style,1884,43.078399,-89.383713
368,620 W Wilson St,Old Style,1884,43.066393,-89.390499
369,917 Jenifer St,Old Style,1884,43.079045,-89.367989
370,833 Jenifer St,Old Style,1884,43.078263,-89.369207
371,533 W Doty St,Flat,1884,43.067677,-89.389478
372,318 Van Deusen St,Old Style,1884,43.054542,-89.388002
373,1030 Jenifer St,Victorian georgian regency,1884,43.080913,-89.366407
374,140 E Gorham St,Flat,1884,43.0793899,-89.385704
375,119 E Johnson St,Flat,1884,43.077942,-89.384911
376,18 W Gilman St,Flat,1884,43.0778109,-89.389642
377,134 W Gilman St,Flat,1884,43.0767809,-89.391186
378,1101 Rowell St,Old Style,1884,43.054894,-89.388444
379,1436 Williamson St,Old Style,1884,43.087002,-89.360085
380,517 S Baldwin St,Old Style,1884,43.083462,-89.360825
381,425 W Mifflin St,Old Style,1884,43.071449,-89.3904529
382,415 W Wilson St,Flat,1884,43.068382,-89.385985
383,1446 E Dayton St,Old Style,1884,43.091209,-89.365255
384,415 N Few St,Old Style,1884,43.089705,-89.372266
385,2031 E Washington Ave,Flat,1884,43.094384,-89.355735
386,1910 E Washington Ave,Flat,1884,43.092793,-89.359306
387,1333 E Dayton St,Old Style,1884,43.089403,-89.366825
388,1237 E Johnson St,Old Style,1884,43.08887,-89.369381
389,1118 E Gorham St,Old Style,1884,43.088228,-89.37316
390,1026 E Johnson St,Old Style,1884,43.086498,-89.373812
391,1026 E Gorham St,Flat,1884,43.087158,-89.37468
392,1030 E Gorham St,Old Style,1884,43.08722,-89.374591
393,1316 E Dayton St,Old Style,1884,43.089357,-89.367975
394,816 E Johnson St,Old Style,1884,43.083802,-89.377646
395,627 E Gorham St,Old Style,1884,43.081812,-89.381208
396,1325 Rutledge St,Flat,1884,43.082953,-89.358787
397,1013 Williamson St,Old Style,1884,43.080891,-89.367149
398,939 Jenifer St,Old Style,1884,43.079513,-89.367323
399,933 Jenifer St,Old Style,1884,43.0794179,-89.367457
